app,user,platform,target
"MacGuffins, LLC",fd47352f-ae37-4af6-9ddc-7e29e17a5104,ios,0
Kinetic Bond,49a2ac09-b270-47c0-94d7-0c4208c47517,android,0
"MacGuffins, LLC",a2144b15-48cd-4cc9-80f2-49af2d955ffa,android,0
Verified Ax,256f4fad-66f7-47f6-9aac-3a95b5276621,ios,0
"MacGuffins, LLC",04e881aa-148e-49e6-8db1-f7eab4812143,android,0
Kinetic Bond,deaa8fa0-d1c2-4cbd-8a41-abd7c43d4f0f,ios,0
"MacGuffins, LLC",82985a88-adc3-4d1c-a5f8-bb8041cc338f,ios,1
"MacGuffins, LLC",53d1211b-e629-4155-b893-64b2c72bbf80,android,0
"MacGuffins, LLC",aa925473-b9ad-4af0-aae9-fa78a1ae2d54,android,0
"MacGuffins, LLC",5295bf46-bfc2-490d-8924-175009cf9831,android,0
Socks Crunch,c68e1f34-9934-4bed-97c8-ebd4f06fc5ac,android,1
"MacGuffins, LLC",c3a8a03b-b067-47c6-b711-f330750dd3f7,android,0
"MacGuffins, LLC",98484162-d9ed-43d6-8be6-24b57c92ce06,ios,0
Verified Ax,bdbb860d-9757-4e11-94f5-528f94369835,ios,1
"MacGuffins, LLC",24e75c1d-c9d6-480b-9395-dd0fcec47fa2,ios,1
Verified Ax,3dd50cf3-477a-462b-957c-61acd6fd22e9,ios,1
Verified Ax,9d4e3dbe-17d3-4eaf-98a9-abea7899abaf,ios,1
Verified Ax,664a0c3f-13a2-44e3-81d8-4e68b438008f,ios,1
"MacGuffins, LLC",58d71ff8-4a52-4761-9f0d-9c72298b7788,android,0
Walnut Forge,64b8be13-87b1-405f-bc19-74a15988d478,ios,0
"MacGuffins, LLC",4a0e0bbc-0265-4c69-b29e-df88e9fd8368,android,1
Verified Ax,c2b760cf-f714-4785-96fc-b7a12f055caa,ios,1
Verified Ax,f01adf61-98a0-47c5-a114-5618a2a02d0a,ios,0
"MacGuffins, LLC",3bd149ed-3f96-4175-b03a-9f9a634c94f3,android,1
Verified Ax,aaafe21e-5032-4473-9b57-1ec9cd9e3bd9,android,1
Socks Crunch,d9988382-003c-4644-847f-969e027a9192,android,1
Socks Crunch,bde4badd-778e-4a99-99ed-89091985d68e,ios,0
Verified Ax,2c4e14bc-a990-484a-9c34-0052d807071e,android,0
"MacGuffins, LLC",69daa3ca-50b8-40f3-a4b3-5528bd94c574,android,1
Verified Ax,d2318004-e2a3-4bc1-b481-af2a49c556cc,ios,1
"MacGuffins, LLC",cdb03664-1089-4109-a08a-7675f69fab87,ios,0
"MacGuffins, LLC",68205d39-6aff-478a-ad80-2c59ac12c9d6,ios,1
Organization Four,4602ab05-adf9-4429-88c6-0f7017a742dc,android,1
OnTheGo Cap'n,87424721-a54d-4ed8-a685-4a77bbca4196,ios,0
Verified Ax,4026d13b-0e17-412a-8fd3-475a9ee8924e,ios,0
Verified Ax,370bee42-c7db-41e4-ae18-eb467de0d84b,ios,1
Verified Ax,02c92f92-a699-4188-8d79-345574315d83,android,0
Verified Ax,4d425caa-7caf-4e55-be28-c6b1a3f4c48f,android,0
Verified Ax,c1228ce8-062c-4d14-80de-7107b090285c,android,0
Verified Ax,09a7de06-66a2-4834-b7f4-9ced0019fc76,ios,1
Verified Ax,857262f6-d703-48ec-87dc-9eccbf947c1a,android,1
Verified Ax,d06155eb-3a7e-46b4-9de0-694dc4b5bdf0,android,1
Verified Ax,7623e008-bea2-4064-aaa4-a1c8aba1e155,ios,1
"MacGuffins, LLC",aa3f9d78-b978-4b22-bd84-641083136780,ios,0
"MacGuffins, LLC",4b64a140-953c-460d-9884-041f84931496,android,0
Verified Ax,15abb098-4a4d-4f18-990f-291e6f40749c,ios,0
Verified Ax,738f4652-d381-4a93-bf8e-c71487dab916,ios,0
"MacGuffins, LLC",e6fcb0e2-8cfd-440b-9adf-9ff4aea7853f,ios,1
Kinetic Bond,14fbd89b-3f36-44ad-bf0a-6c519db0cef9,android,1
"MacGuffins, LLC",30d40797-c31b-49a3-aaea-d57e02538e20,ios,0
"MacGuffins, LLC",9b76b823-22d3-45d0-b32f-914d38234884,android,0
Verified Ax,61167276-2dc0-4e97-bf27-4ec017a7cd51,android,0
"MacGuffins, LLC",26855353-269b-45b5-9ee0-2496a31d5567,android,1
"MacGuffins, LLC",f7a541c1-e299-413a-ae03-093a32c72ea4,ios,0
Socks Crunch,15979403-fbce-4050-8fa1-63099064f670,ios,1
"MacGuffins, LLC",a9df4393-38de-4eb8-9407-12b467848111,ios,1
Kinetic Bond,3b286d64-fde4-44d8-bf97-0eb6fb0f7988,android,1
Verified Ax,5f0758cd-14fb-4801-a833-c475f5f33636,ios,0
"MacGuffins, LLC",c8aef71d-542b-4b2c-95f7-f5d116f3d015,android,0
"MacGuffins, LLC",78d5ad3c-738c-4868-9a6c-e2a341ba2465,android,1
"MacGuffins, LLC",d7e327b7-c5cc-4837-b56e-9ace206130ee,android,1
Verified Ax,577fddbc-25ea-4202-959d-34fc6a5414a0,ios,1
"MacGuffins, LLC",b2c78781-fd32-4d8f-b789-d9efeccbd0a4,ios,0
Verified Ax,eb65ad97-8a1c-4be6-a973-307a1a9c490b,ios,0
Verified Ax,b791f5c2-717e-49a5-92e1-f23e3e876524,android,0
Verified Ax,b8a19436-a4e2-44de-b754-cd6977231172,ios,1
"MacGuffins, LLC",093ff620-1892-48c1-90d5-b47b45957c9b,android,1
"MacGuffins, LLC",f46e8d48-9b4c-4157-96f7-936951b0cde6,android,0
"MacGuffins, LLC",01fb6cbc-3b6f-486b-8d5d-b9b7b95dbb30,android,1
"MacGuffins, LLC",dad6503e-be17-4462-b3c2-93b38425c394,android,1
OnTheGo Cap'n,b2fee5a7-0bd4-45dc-8009-3cadad8d4a3a,android,1
Verified Ax,347680bf-636d-49d9-9dd2-9eb68d991bc7,android,1
"MacGuffins, LLC",a5f1fe68-ca71-4db9-b722-9903efed1a2c,ios,0
Organization Four,aabdc23f-17dd-4fb5-9e43-d21b36ccf623,ios,0
Kinetic Bond,cbfead5f-f501-47b6-9cfa-90930979d1eb,android,1
"MacGuffins, LLC",655ae28a-5cdb-44d3-a3e9-86ec8c52efbc,android,1
Verified Ax,f19c1339-6efb-46e7-95ae-8e75047f798b,ios,0
OnTheGo Cap'n,bb006694-aa3e-4b38-b422-f727514b512e,android,1
Verified Ax,6ae32d47-066e-4ce7-9a9f-d4c5f069dd9a,ios,0
Verified Ax,9fa2d711-3947-4b7d-9da1-c201fa9c674c,android,1
Socks Crunch,5a65e71a-b621-495e-8bcb-32493094ab6b,ios,0
"MacGuffins, LLC",e29ba9f5-244b-46b7-aa3c-00294fc3cac2,ios,0
"MacGuffins, LLC",25220b1b-5bf5-4287-9e69-b690a964a012,ios,1
OnTheGo Cap'n,02b840d4-5332-44ed-b0e9-8ca763f1dac5,android,0
"MacGuffins, LLC",be26fb7f-5d8a-4e62-84bc-2efa310bf871,ios,0
"MacGuffins, LLC",518ef3cc-5738-4a02-8ccf-34fb26d4a3f6,ios,1
Verified Ax,8e81237d-edba-478d-a3d1-76e18c7a2744,ios,1
"MacGuffins, LLC",0a24f6af-6980-45b6-81d8-594a63158132,ios,0
Verified Ax,3d0d8661-bfbc-445b-ae6c-6909f76b16bf,ios,0
Verified Ax,b512dd61-57db-4699-a025-5bc3f8438f55,ios,0
"MacGuffins, LLC",9ffd0b46-2dce-469b-b3d1-32c2acb7f5bf,android,0
Kinetic Bond,7bdf986d-9d5c-4ca5-8573-6f20a006aced,android,0
Verified Ax,dd73c1e5-0679-4864-9d7b-fda45abcdb22,android,0
"MacGuffins, LLC",abc17d17-6fb5-484b-82bd-7257757490df,android,0
OnTheGo Cap'n,3e1c10e3-5d29-4586-b1c3-7ba675428b73,ios,1
Kinetic Bond,1fabc25d-e6b4-41d2-8ba0-46dca908c2f5,ios,1
Verified Ax,54b4a75d-6619-4bc0-a2ca-3bd8fc62fee4,ios,0
Verified Ax,7683bc78-b884-4095-9b29-b96b0a4df051,android,0
"MacGuffins, LLC",564cef26-510c-4a3c-bb9d-f5e317c318bf,ios,0
"MacGuffins, LLC",b30094c6-9bc0-4d88-b03c-7ee7786bb204,ios,1
Organization Four,b0b06296-efd4-42a1-aa2a-e54bb1fc2dd6,ios,1
"MacGuffins, LLC",10145c67-bb4f-499c-9bb7-54752bae80e2,ios,0
Verified Ax,d1dfadd2-7d55-456d-a61d-d50402e1f557,android,0
OnTheGo Cap'n,70d96f5b-990f-49b2-aa2e-2931d0650b4c,ios,0
Verified Ax,c7289579-f84a-4067-be23-06833b75ca7e,ios,0
Kinetic Bond,4cbccf10-9c73-45eb-8b6b-d5a655b4e28a,ios,0
Verified Ax,3b291765-7d55-4c1f-bdbd-5d5f5391b666,ios,1
"MacGuffins, LLC",f0b57d59-e827-4eeb-96cc-86cc0a847281,ios,0
Verified Ax,03e9cd22-e9ba-40b0-97b5-14097609005d,android,0
"MacGuffins, LLC",1b3d973e-8e70-4087-94e1-9d05fa03d0c8,android,0
"MacGuffins, LLC",dbadc800-34be-4617-a48c-b72c5531036d,android,0
"MacGuffins, LLC",921c99e7-5c67-4b2e-98f6-d28da8811d3c,ios,0
"MacGuffins, LLC",c5e46998-2ec8-4861-8288-6077a45ffaa8,ios,1
"MacGuffins, LLC",a93b8ed7-eb5a-41ef-84b7-84c34ad4b3b2,ios,1
Verified Ax,965f1adc-cafe-4fd7-ac90-a012d6cc0b23,ios,0
"MacGuffins, LLC",a490d44a-64ee-4aba-a607-1a5cfcbd4678,ios,0
Verified Ax,957132e4-b15d-41ec-a120-4a112c5bf49f,android,1
Verified Ax,1deb1392-34f0-40b3-a89f-3d027ff23b1f,ios,1
Walnut Forge,ef5f73b6-5daa-4684-aca8-a282ba746fb6,ios,1
"MacGuffins, LLC",fb1d5b17-c467-44d4-80a2-ba0c4bf20b28,ios,0
"MacGuffins, LLC",ead6f0bf-8c4e-4e28-ba7d-a5248ee69034,ios,0
"MacGuffins, LLC",015b4296-3302-4e7f-87dd-f49e04f86995,android,1
"MacGuffins, LLC",ee16d5a7-642b-4a9b-b637-5a214b49dab0,ios,0
"MacGuffins, LLC",b36a1ad3-2afb-4d45-8264-f6645b6569fc,ios,1
Verified Ax,b4d36ae9-fbd6-45a0-8ac2-28ac0cb9ad41,android,0
Verified Ax,9b620cd8-49f0-451d-8b11-c81dc60465d4,android,1
Verified Ax,6d6e8534-50a0-45d2-b744-f6afede12574,android,0
OnTheGo Cap'n,d1c02ebb-ea64-4702-b204-837819e09981,ios,1
Verified Ax,4b022b37-d98e-4ce9-ad8b-4cecd9d856ec,android,1
"MacGuffins, LLC",d7e57c1d-e3fe-4fd2-9b46-0322fcdbedc3,android,0
"MacGuffins, LLC",b23eecad-c78b-419f-8b49-23753087849b,android,0
OnTheGo Cap'n,9176e4e2-96f7-4b86-bb7b-5e541fe3c183,ios,0
Verified Ax,2f00ba3b-62f7-4556-9598-82fe912e77ab,ios,1
Kinetic Bond,24b0786a-8f6b-4db0-822c-4c3517fed9db,ios,0
"MacGuffins, LLC",e929d3d2-a49b-4f4d-ae3c-6b9de9167691,ios,1
OnTheGo Cap'n,a189a46b-d167-48fa-b363-fbb9902a8c3c,ios,1
Verified Ax,b5968fd7-ba3e-407b-9f9c-9402c8619ae2,ios,0
Verified Ax,825cc904-b355-4653-8cfd-3b5a5f75ba36,android,1
"MacGuffins, LLC",4f9b5c4d-df66-49e8-88ba-a6e8cdbccfe2,ios,0
"MacGuffins, LLC",f6dc8977-8408-41ff-91df-994eb20e39c1,android,1
"MacGuffins, LLC",ccc54fbb-cdc4-461f-ab24-f709a71a362d,android,0
"MacGuffins, LLC",0b0ca2e2-108d-499c-a32e-0c6e552bc0f8,android,1
"MacGuffins, LLC",6be43048-9ea2-4820-ab86-5cc3b6aa6c9d,ios,0
OnTheGo Cap'n,dd7a860a-e03d-4850-9f75-970703286047,ios,0
"MacGuffins, LLC",8da09b72-2866-4a7c-921a-98f8cafeb89e,ios,1
OnTheGo Cap'n,4eb971e2-7e76-4e80-8d90-7d09c8179304,ios,0
Verified Ax,6b6cf3a1-6ae9-4489-956a-a453a8ad5f88,android,0
Verified Ax,74a05f61-f673-4a39-b553-bf2d0926059c,android,1
"MacGuffins, LLC",dd6d7ff7-fb32-4573-8516-c9cb2580c9bb,android,0
"MacGuffins, LLC",0da1cd3f-a6ac-4b3e-b876-3595e3d6ad86,android,1
OnTheGo Cap'n,e7d208b9-a56e-483e-ab9d-6667a51d017c,android,0
"MacGuffins, LLC",db97aef8-15aa-41c9-bddf-66dc1e357169,android,1
OnTheGo Cap'n,ba8dcb73-9364-4f76-be3e-0aac5f2b4d8f,ios,0
"MacGuffins, LLC",26413348-99f0-412a-9712-8786e4ea867f,android,1
Verified Ax,c3f5cbd2-ee01-4cd0-83d3-01885439b185,android,1
Kinetic Bond,22cdd2ab-cc4d-4b71-b818-124eb50d5d4c,android,0
Verified Ax,b969882d-2aab-41bb-9c95-848a43bd2782,android,0
"MacGuffins, LLC",2bf94317-4555-466d-b432-6600a57b263e,android,0
"MacGuffins, LLC",16ca193c-04b8-47ea-ba38-54adf4418208,android,1
Verified Ax,f9f78634-7e94-4be0-b305-2a2bbb9866a8,android,0
Verified Ax,891f2303-05d0-4478-b721-5b6d0cc15e8a,ios,0
Walnut Forge,0946b9ad-d54b-498c-bef6-a72d33c80ba4,android,0
"MacGuffins, LLC",bde9a604-510b-4a71-9daa-c6835e0248c6,android,1
Socks Crunch,c7170d1e-20ab-45cc-98e0-a0a738617c05,android,0
"MacGuffins, LLC",b106589e-8c96-4b7d-a610-3eb1421b43b1,android,0
Verified Ax,041ab5a2-e4dd-463a-a9f3-75c5bbe718f1,android,1
Kinetic Bond,2686406f-b69b-4469-add9-ce00d058121f,ios,1
Socks Crunch,5367a69a-5402-48ca-bbbe-2aa76705aec0,ios,1
"MacGuffins, LLC",786c4146-0089-4ce7-8f7b-50ccf4d11ce3,android,1
"MacGuffins, LLC",0732858b-a2d3-44b1-adbc-c32ec99327c0,android,0
Socks Crunch,ecfb46ab-1a09-472c-a483-1f374c1b117f,ios,1
"MacGuffins, LLC",6a72e04c-0e2a-43d6-92da-42ffb79ee8e8,android,0
Verified Ax,d6143cb7-4afe-4eaa-a4f3-f8331c9ba8be,ios,0
"MacGuffins, LLC",edf8f71f-3e8e-44ca-9733-6a6df383291f,ios,0
Kinetic Bond,3f936b5e-b956-4c74-9d48-1811d1a5f856,android,1
Organization Four,9dc637f3-9f94-4d1a-aa63-64faf416fcc7,android,0
Verified Ax,1e15370c-8bb7-41b0-9d4d-98cfbf6a27bd,ios,1
"MacGuffins, LLC",af5d7a24-a59b-47c0-9207-f94a3836b0da,ios,0
Verified Ax,3dc250a1-7c83-4214-821e-ae5322f10f41,android,1
Verified Ax,390feb6b-0769-42bc-819c-6456e51227b4,ios,0
"MacGuffins, LLC",b0fe94ad-71fa-4ef6-98e2-8203d2303812,android,0
Organization Four,c1882f8b-4aa4-4f89-be4a-f751b7595ea1,ios,0
Verified Ax,cbba4919-a289-406d-b617-19bef1b77de8,android,0
"MacGuffins, LLC",813a4ce2-52e1-438f-bcec-19b4ba82ee52,ios,0
"MacGuffins, LLC",856802c1-430f-40df-b23e-d46a2243a6cb,ios,0
Verified Ax,2a275ff2-f09a-4d1e-97df-737f8f7e9726,ios,0
"MacGuffins, LLC",bbc57f77-7850-4e06-955b-9267c5876235,android,0
Verified Ax,881f5e94-7a93-4897-aba8-8f2189509ae1,ios,1
Verified Ax,934f1065-35f3-47c4-ba2e-8faf82aefa32,android,1
Verified Ax,6ef6e1ce-1c57-40fd-92fb-be0e18e098e4,android,1
Verified Ax,0b3837a0-a804-4f23-b8f0-aea395c4774b,android,0
"MacGuffins, LLC",213a6a49-d49f-439a-85fd-287708115356,android,0
"MacGuffins, LLC",3676bea3-6bba-4bc5-8d9b-a991236fd44c,ios,0
Verified Ax,bb002953-1453-4d97-ac9d-040ab1d899db,ios,0
"MacGuffins, LLC",1bf52365-0c50-4d72-97aa-a21faf443df9,ios,0
"MacGuffins, LLC",6653438b-7739-4dfd-a14f-cea3ca479d5f,android,0
Verified Ax,cb6a773d-1a56-43e2-b2d3-fad684a0dea5,ios,1
"MacGuffins, LLC",847e61a1-32d0-4ced-bafc-945223274f93,android,1
OnTheGo Cap'n,2f407369-6454-4b96-b7e2-581ab7568cda,android,0
Verified Ax,01af3595-d023-45ea-a0c2-9a9f02f5bb07,ios,1
"MacGuffins, LLC",5f273b49-df4a-407b-a5e1-6dd67a123554,ios,1
Verified Ax,7aac5f16-66d5-49e8-8f9d-288f1421aba1,ios,1
OnTheGo Cap'n,6a1d8bb0-91f2-47c8-aecd-359a9225e48f,ios,1
Verified Ax,1f8e9fcf-fd16-4d27-ab17-9a1d7931ecf2,android,0
Socks Crunch,e4b25990-7628-4c59-8172-023d0a1cf473,android,0
Verified Ax,6b18a073-7e2b-422c-b017-143a633e134b,ios,0
"MacGuffins, LLC",2f5b58f8-1400-42e6-a4b0-db992da5c9a2,ios,0
"MacGuffins, LLC",2bd34e42-35ad-44f9-a00a-ebe9cf612113,ios,1
"MacGuffins, LLC",b338260a-88c8-4c8d-90ef-283edb64de84,android,0
OnTheGo Cap'n,17280615-815b-4611-9ced-f5e7dfe40d37,ios,0
"MacGuffins, LLC",965ff3f6-a739-466c-a6d6-be1bcf3da0b9,ios,0
Verified Ax,9141188f-6dd1-46fe-8e8c-3dd21e644c17,ios,0
"MacGuffins, LLC",7c7b9b19-ec51-4cea-aed3-84df1fe76717,android,0
"MacGuffins, LLC",ef69a830-5324-4e0e-b079-f7c5ca3bce24,ios,0
"MacGuffins, LLC",006c4285-75d1-4f9a-83df-7cf84f4392c5,android,0
Kinetic Bond,3463bfa8-6c05-4982-a5f1-e158d51df887,android,0
"MacGuffins, LLC",8302e3cb-c01e-41a6-b7e0-f5b8f75561da,ios,0
Verified Ax,53ea6247-8653-4e40-8ca6-fe7d386ad9c2,ios,0
Kinetic Bond,68569762-8469-46ce-a7d7-056765db4b96,ios,1
"MacGuffins, LLC",764f7078-340b-435e-a03d-92147f4acd9a,android,0
Walnut Forge,c72faf1a-0719-4f96-ad3d-3a4512c53e13,android,0
"MacGuffins, LLC",984f1c63-2db1-4684-b14c-8fe2f5701344,android,0
"MacGuffins, LLC",4c632912-abf4-4401-8d94-94ee52d134e7,android,1
Verified Ax,a789c3d0-b421-4b06-b402-d2a5bb4aae43,android,1
Verified Ax,61d0336f-2066-4e90-b252-cdfef64a6780,android,1
"MacGuffins, LLC",6808cb04-92fb-4748-b953-5ba026ecf93b,ios,1
"MacGuffins, LLC",0ca5268e-64b7-4221-9dff-b538730bb5c9,ios,1
"MacGuffins, LLC",13d332c9-5c03-4154-8318-0644fa1bdbc0,android,0
"MacGuffins, LLC",a909ece0-5b1d-4ad6-a85c-607d66d791bd,ios,0
Walnut Forge,96f8ff7f-a332-4f58-a2d9-9e34b0a27a4d,android,1
Verified Ax,bf585c2b-9b17-4bb8-a56f-6c0a39ecae89,ios,1
"MacGuffins, LLC",846cedcd-0a5a-499c-8d19-5a8d89ed8c5d,ios,1
Verified Ax,a63ebeb5-3aa3-4c42-8836-9340a74f4c48,ios,0
Verified Ax,e5b6b350-8379-4124-9042-ce78684d44d4,android,1
"MacGuffins, LLC",5f3a2ab5-b1ed-4d72-b0ae-389ab53fe85e,ios,1
Verified Ax,9c54929a-51de-47bb-bab0-081e968e329f,ios,1
"MacGuffins, LLC",ef23efdb-e0d0-4a9e-bd73-ae1cc3415613,android,1
"MacGuffins, LLC",4e8d3552-5f38-4a90-b572-96f06cf2442f,ios,1
Verified Ax,513c1219-2901-4751-b7e4-a8062b85a656,ios,1
Kinetic Bond,21f2da86-e75f-4cf1-a41a-f9e5fff897cb,android,0
"MacGuffins, LLC",a07a1b58-3d50-4a9b-9232-783d358f55c2,android,1
Verified Ax,eb53d7bc-2020-4a3e-b120-2a20bfb148e7,android,0
"MacGuffins, LLC",f82c6ae9-dbaa-4c19-83e9-6b39254aa8ba,android,0
"MacGuffins, LLC",2f1119e2-6b5f-437e-9e2d-1deccfd5d64d,android,0
"MacGuffins, LLC",aa4276bc-33ab-4972-83d2-43a82968d85a,android,0
Socks Crunch,e9e44e3c-bf6a-4dd0-b4e5-1014e915d09a,android,0
Socks Crunch,0f773902-aff3-4546-8480-938c3eb354a6,ios,1
Kinetic Bond,3a8e9f2b-a102-4313-8f72-b532623215b8,ios,1
Kinetic Bond,d01afab8-dc1b-49bf-bf9c-ab31b4ba5e7e,android,1
Verified Ax,ccd5dff9-fc54-430c-a852-a7493ac0a343,android,1
"MacGuffins, LLC",76e9cbdf-cec7-433d-9fd1-538cc2ed851d,android,1
Verified Ax,9edcfd09-d2cb-4907-a18e-a19326386f13,ios,1
Kinetic Bond,fb7d322e-6185-46c1-a2cf-0f05a35215ad,ios,0
"MacGuffins, LLC",4bb93987-3a16-41e1-a26a-25eaa6cfe37e,ios,0
Socks Crunch,70f3b7c8-9583-4979-9df4-1f4b46ceee94,android,0
OnTheGo Cap'n,f6fb5ec9-9d45-47b1-be3e-bdfb279ac9b7,ios,0
"MacGuffins, LLC",62ddc746-2608-4eb3-bdba-27c0bb3c5dca,ios,0
"MacGuffins, LLC",fc6e3892-ab74-441b-810d-50456172bc56,android,0
Verified Ax,84950de7-9524-4a43-a5e7-dea4f98fcc44,ios,1
Kinetic Bond,50c428e0-e445-4bde-ad8a-7e0afab9c713,android,1
Verified Ax,8442f1a8-d16d-4a46-89f8-a355af2539cb,ios,0
"MacGuffins, LLC",a9bb1ae5-fb42-4b69-8247-69460045584d,android,1
Verified Ax,645b618c-3efc-4bb7-97ce-39ace3c1650c,ios,0
Kinetic Bond,2ddaf86a-ebba-4d1b-8171-e913d09a8a3c,ios,0
"MacGuffins, LLC",692aac4d-1f1a-46f3-b666-f614357e5e88,android,0
Socks Crunch,d6ce8f5d-fc59-482d-a36f-4a4a7486205d,ios,1
"MacGuffins, LLC",5ede205f-cadf-425e-a453-dae8e99dd5bd,ios,1
"MacGuffins, LLC",7329612b-cc70-44e2-9813-6617e44965d1,ios,0
Verified Ax,6908b9b3-396a-4f81-a218-22037376b01a,android,1
"MacGuffins, LLC",69b99343-f2c0-45f2-9dee-8b53723c4eba,ios,0
Kinetic Bond,629c7cf0-e2f4-40f3-8cb2-99aed39b404b,ios,0
"MacGuffins, LLC",f79a6611-69fa-4ba5-a616-e3f0f1f8e694,android,0
Kinetic Bond,c325489a-592c-42df-8313-7f32efcd5278,android,1
"MacGuffins, LLC",1c6b8de0-e421-4a30-bdde-36d541e78330,ios,1
Verified Ax,42e74481-4a55-4b2d-99cc-ec3eaa0a5229,ios,0
Verified Ax,bd8c3210-e356-4e89-a476-984eab7da51e,android,1
"MacGuffins, LLC",5afc83c3-dad7-4d03-8913-acdbe057ebd8,ios,1
"MacGuffins, LLC",a885a715-5d7a-4c31-a0a7-eac25db2b965,android,0
"MacGuffins, LLC",2cb52c27-6506-44b2-8b02-1b499482bf8e,ios,0
Socks Crunch,5641ccf0-394b-4f18-be7a-3f7f7246054a,android,0
"MacGuffins, LLC",0d29b525-d4c3-40dd-939c-677a5478fe97,ios,1
"MacGuffins, LLC",c5a1df4b-cdb3-4e6d-8135-c582ab12bf19,ios,0
Organization Four,aea90334-2be5-46b7-9aae-fcd4992ee235,ios,1
"MacGuffins, LLC",b1452fdc-89fd-4715-be08-a0595302b414,android,0
"MacGuffins, LLC",393c4ce0-e6b9-486e-87d8-26ca65a6cfca,android,1
"MacGuffins, LLC",8f061999-6000-4092-9087-490ffe3af072,android,1
Verified Ax,48cabf11-0fa7-465d-b4f9-374b568728e7,android,0
"MacGuffins, LLC",3c7b6328-efee-40a2-a2ef-548e101f16d0,android,1
"MacGuffins, LLC",1fec6cdc-9f1b-4db2-978f-25d7e159d578,ios,0
"MacGuffins, LLC",bb03094b-70e0-4f78-9b5c-c6ef8078b96e,ios,1
Kinetic Bond,2691a5df-4f84-4a44-b5a1-b0dc1d193ca3,android,1
Verified Ax,47a78123-5b5c-47b0-aa1d-a918d40496c5,ios,1
Verified Ax,a9c35f5e-6b21-42eb-904b-2a9290d4d1de,ios,1
Verified Ax,6cd9f476-3c46-4f6a-a2d6-7fb707ec9d9c,ios,0
Verified Ax,26a27910-1976-43c2-9846-12f983634d78,ios,0
Kinetic Bond,58020c02-6427-4b6c-84fc-a3a8510e80f3,android,0
"MacGuffins, LLC",adc4a83c-417c-40cb-a7da-a77cf15c7518,android,1
